"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Jacinta";9;10;10;11;11;11
"Jacqueline";12;13;13;14;14;12
"Jadrana";6;6;6;6;5;5
"Jadranka";871;873;875;876;877;872
"Jadviga";27;27;27;26;26;26
"Jaga";20;20;20;20;20;20
"Jagica";9;9;8;8;8;7
"Jagoda";145;149;150;150;148;148
"Jagodinka";6;6;6;6;7;7
"Jakica";14;14;14;15;14;14
"Jakobina";23;22;19;18;18;17
"Jana";3704;3718;3734;3752;3755;3765
"Jana Marija";7;7;7;7;7;7
"Jane";5;6;5;5;5;-
"Janet";9;10;11;11;11;11
"Janeta";11;12;12;12;12;12
"Janette";11;11;12;11;12;13
"Jani";9;9;9;9;8;8
"Janica";43;43;43;41;41;41
"Janija";5;-;-;5;5;5
"Janika";17;17;17;17;17;17
"Janina";96;96;97;98;97;99
"Janine";12;11;10;10;10;10
"Janislava";19;19;19;19;19;19
"Janita";18;18;19;19;19;19
"Janja";5024;5026;5036;5039;5037;5035
"Janja Marija";5;5;5;5;5;5
"Janka";125;124;125;124;125;123
"Jankica";6;6;6;6;6;6
"Januša";42;42;42;43;43;43
"Januška";14;14;14;13;13;13
"Janža";7;7;7;7;7;7
"Jara";-;-;-;6;6;8
"Jarmila";22;21;21;22;22;22
"Jaroslava";11;11;11;11;11;11
"Jasenka";49;49;49;49;48;47
"Jasmin";34;32;31;31;31;28
"Jasmina";3318;3331;3364;3377;3387;3390
"Jasmine";5;6;7;10;11;12
"Jasminka";399;405;415;415;415;419
"Jasmira";5;5;5;5;5;5
"Jasna";2773;2778;2792;2786;2784;2784
"Jasna Marija";11;11;11;11;11;11
"Jaša";8;8;11;11;12;12
"Javorka";29;29;28;28;29;29
"Jeanette";11;11;11;12;11;10
"Jeanine";-;-;5;5;5;5
"Jedert";26;26;26;26;22;21
"Jederta";6;6;6;6;6;6
"Jedrt";7;8;7;7;7;7
"Jehona";14;12;12;14;15;19
"Jeka";19;19;19;19;18;18
"Jela";291;287;284;282;280;277
"Jelena";1257;1253;1260;1267;1276;1293
"Jelena Marija";9;8;8;8;8;8
"Jelenka";25;25;25;25;25;25
"Jelica";277;279;280;274;274;270
"Jelisava";31;31;30;29;28;28
"Jelisaveta";24;24;23;22;23;22
"Jelisavka";16;17;17;17;17;17
"Jelislava";44;42;41;41;41;41
"Jelka";2715;2700;2683;2669;2655;2641
"Jelka Marija";8;8;8;8;8;8
"Jena";10;10;10;10;11;11
"Jeni";6;6;6;7;7;7
"Jennifer";28;24;23;22;23;19
"Jenny";14;14;13;13;13;12
"Jera";236;236;239;235;237;234
"Jerca";259;280;299;317;337;352
"Jerena";8;8;8;8;8;8
"Jerica";939;929;921;911;904;900
"Jerina";6;6;5;5;-;-
"Jerneja";1347;1356;1364;1371;1372;1373
"Jernejka";37;37;37;36;36;35
"Jesenka";7;6;6;6;6;6
"Jessica";42;42;42;43;46;45
"Jetmire";17;17;19;19;17;19
"Jevrosima";5;5;5;-;-;-
"Jiayi";-;-;-;-;-;5
"Jing";-;-;6;6;7;7
"Jitka";8;7;7;7;8;7
"Joana";7;9;8;9;10;11
"Joanna";5;6;7;7;8;5
"Johana";30;31;34;32;33;33
"Johanna";11;11;11;11;12;14
"Joka";56;56;56;56;55;55
"Jolan";9;5;-;-;-;-
"Jolana";-;-;-;-;-;5
"Jolanda";1148;1136;1122;1115;1104;1089
"Jolanka";242;232;222;211;206;195
"Jona";82;89;96;105;109;120
"Joni";6;6;5;5;5;5
"Jonida";-;-;-;-;-;5
"Jordana";37;37;37;35;35;35
"Jordanka";10;10;11;11;11;11
"Josefa";5;5;-;-;-;-
"Josefina";7;8;6;7;7;6
"Josefine";-;5;5;5;5;-
"Josipa";312;305;298;294;285;277
"Josipina";141;132;129;121;117;113
"Joška";5;5;5;5;5;5
"Jovana";61;65;79;89;105;113
"Jovanka";319;319;326;332;328;325
"Jovita";30;30;30;30;30;30
"Jozefa";367;344;328;309;293;281
"Jozefina";50;51;47;47;47;48
"Joža";161;160;154;153;153;149
"Jožefa";11361;11036;10709;10416;10081;9739
"Jožefa Alojzija";7;7;6;6;6;6
"Jožefa Ana";7;6;6;5;5;5
"Jožefa Franèiška";8;7;7;6;6;6
"Jožefa Ivana";5;5;5;5;5;5
"Jožefa Marija";65;65;63;62;62;60
"Jožefa Terezija";5;5;5;5;5;5
"Jožefina";67;66;66;66;62;60
"Joži";55;57;58;59;61;61
"Jožica";9732;9693;9654;9603;9569;9495
"Jožica Ana";7;-;-;-;-;-
"Jožica Marija";16;16;16;16;14;14
"Jožka";22;22;21;21;21;21
"Judit";12;13;11;11;12;14
"Judita";658;658;657;652;649;648
"Jula";12;12;12;12;12;11
"Julia";117;120;131;147;169;180
"Juliana";18;18;20;20;21;21
"Julianna";-;5;5;6;7;8
"Julija";1433;1589;1760;1919;2110;2279
"Julijana";2591;2492;2420;2333;2260;2173
"Julijana Marija";6;6;6;6;6;5
"Julika";11;10;9;7;8;8
"Julita";26;26;26;26;26;26
"Juljana";60;60;57;51;49;47
"Julka";146;146;144;142;142;142
"Juna";9;9;12;12;13;13
"Jurka";41;41;41;40;40;40
"Jurkica";7;7;7;7;7;7
"Justa";32;31;31;31;30;30
"Justi";45;45;45;45;45;44
"Justika";9;9;9;9;9;8
"Justina";1963;1889;1814;1741;1677;1611
"Justina Marija";10;10;10;9;9;8
"Juša";6;6;7;7;9;11
"Juta";19;22;24;28;29;29
"Jutra";9;9;9;9;11;12
"Júlia";-;-;5;-;-;-
"Kada";35;36;38;39;40;42
"Kadifa";18;20;18;18;18;17
"Kadife";8;8;9;10;10;10
"Kadira";27;26;25;26;25;24
"Kadire";8;9;9;10;10;12
"Kado";5;5;5;5;5;5
"Kadrije";-;-;-;-;5;-
"Kaira";-;-;-;5;6;6
"Kaja";2732;2880;3005;3113;3234;3355
"Kajetana";6;6;6;6;6;6
"Kala";-;-;-;-;-;6
"Kali";-;6;6;7;9;12
"Kalina";19;27;30;33;39;45
"Kaltrina";18;18;20;22;21;24
"Kamila";37;35;35;35;35;35
"Kanita";9;12;15;16;17;18
"Kara";-;5;7;7;8;8
"Karen";22;23;23;25;25;24
"Karim";6;6;6;6;6;6
"Karin";1370;1404;1448;1485;1520;1545
"Karina";113;116;123;128;129;132
"Karla";375;377;377;382;391;392
"Karlina";123;121;115;112;113;113
"Karlinca";10;11;11;11;11;11
"Karlota";5;5;5;5;5;5
"Karmela";91;85;83;79;79;77
"Karmelina";9;9;9;9;9;9
"Karmen";4497;4486;4493;4492;4494;4470
"Karmenka";6;6;6;6;6;6
"Karmi";7;7;7;7;7;7
"Karmina";11;11;11;11;11;11
"Karol";-;-;5;5;5;5
"Karolina";2326;2295;2266;2239;2203;2155
"Karolina Draga";9;9;9;9;8;6
"Karolina Dragica";17;18;18;17;17;16
"Karolina Marija";10;10;10;8;8;7
"Karoline";5;5;5;-;-;-
"Kasandra";8;10;10;10;10;10
"Kasia";-;-;-;5;5;5
"Kata";507;503;502;494;487;484
"Katalin";42;40;39;37;38;37
"Katalina";-;-;-;-;-;5
"Katarina";8302;8271;8258;8213;8177;8136
"Katarina Ana";9;9;9;9;8;8
"Katarina Barbara";15;17;16;16;16;16
"Katarina Katja";9;9;9;9;9;9
"Katarina Lucija";6;6;6;6;7;7
"Katarina Marija";18;16;16;14;14;13
"Katarinca";5;5;5;5;5;5
"Katarína";-;-;-;-;-;5
"Kate";20;20;20;20;20;19
"Katerina";57;57;68;72;82;85
"Kateryna";15;15;17;20;22;29
"Katharina";15;13;12;16;13;12
"Kati";62;62;64;65;66;67
"Katia";6;7;6;7;7;9
"Katica";678;678;670;660;651;647
"Katija";17;17;17;18;18;18
"Katinka";8;8;9;9;9;9
"Katja";8557;8613;8678;8706;8742;8736
"Katja Katarina";8;7;7;8;8;8
"Katjuša";353;361;368;373;377;385
"Katka";41;44;45;49;54;54
"Katra";51;51;52;53;53;54
"Katrca";7;7;7;7;7;7
"Katrin";55;57;60;60;63;67
"Katrina";17;19;20;20;22;22
"Kazimira";31;29;30;29;28;28
"Kaya";5;6;8;9;9;10
"Keli";21;22;23;23;26;26
"Kelima";16;16;17;17;17;17
"Kelly";17;18;19;20;19;20
"Kenana";-;-;-;-;5;5
"Kerstin";18;18;16;16;16;16
"Keti";38;38;39;41;42;44
"Ketrin";5;5;5;5;-;-
"Ketty";-;-;-;-;-;5
"Kety";-;-;-;-;5;-
"Kiana";-;-;-;-;-;5
"Kiara";76;108;151;195;217;235
"Kim";316;330;341;363;389;419
"Kimberly";-;-;5;5;5;6
"Kimeta";8;10;10;9;9;8
"Kimete";10;11;10;13;13;17
"Kimi";10;10;11;12;11;11
"Kira";13;13;14;14;17;18
"Kiti";12;13;13;14;14;14
"Kjara";9;10;12;13;15;16
"Klara";2751;2871;3011;3130;3247;3383
"Klara Marija";5;5;5;5;5;5
"Klarica";8;7;7;7;7;7
"Klarisa";52;55;59;60;62;64
"Klaudia";55;56;55;56;53;54
"Klaudija";523;522;521;519;517;509
"Klavdia";7;6;6;6;6;6
"Klavdija";2989;2987;2993;2988;2992;2986
"Klea";20;24;26;29;33;34
"Kleja";-;5;5;5;5;5
"Klelija";15;15;15;14;14;13
"Klementa";5;5;5;5;5;5
"Klementina";447;448;447;450;451;451
"Kleopatra";-;-;5;5;5;5
"Klotilda";40;38;38;37;37;36
"Koni";8;8;8;7;8;8
"Konstanca";13;13;13;13;13;13
"Kora";11;13;15;15;16;18
"Koraljka";5;6;5;6;5;6
"Korana";6;6;6;6;5;6
"Korina";38;40;44;45;47;50
"Kornelia";17;16;16;16;16;14
"Kornelija";145;144;144;146;145;144
"Kosa";26;26;27;27;26;25
"Kosana";11;11;11;11;10;10
"Kosanka";10;10;10;10;10;10
"Kosara";10;11;11;10;10;10
"Kosovare";-;5;6;9;8;9
"Kostadinka";8;8;9;9;9;9
"Kostanca";8;8;8;8;8;8
"Koviljka";99;103;103;102;104;105
"Krenare";-;-;-;-;5;5
"Krescencija";7;7;6;6;5;5
"Krista";111;109;109;109;105;104
"Kristi";23;23;25;25;25;26
"Kristijana";9;9;9;8;8;8
"Kristin";6;8;9;9;9;10
"Kristina";6939;6871;6798;6742;6646;6564
"Kristina Ana";7;5;5;5;-;-
"Kristina Marija";15;14;14;13;12;12
"Kristina Tina";8;10;10;10;10;10
"Kristinka";6;6;6;6;5;5
"Kristjana";17;17;17;17;18;18
"Krsta";5;5;5;5;5;5
"Krstana";8;8;8;8;8;8
"Krstina";18;18;18;18;19;19
"Kruna";5;5;5;5;-;-
"Krystyna";-;6;5;5;5;-
"Ksena";5;5;5;5;5;5
"Ksenia";6;5;8;8;10;12
"Ksenija";2186;2180;2177;2174;2180;2167
"Ksenija Marija";6;6;6;6;6;6
"Ksenja";388;388;390;389;386;384
"Kujtesa";-;-;-;5;6;5
"Kujtime";-;-;-;-;-;6
"Kumrija";7;7;7;7;7;7
"Kumrije";11;13;15;14;14;16
"Kunigunda";8;9;9;9;9;9
"Kymete";-;-;6;6;6;6
"Lada";23;23;23;23;25;25
"Ladeja";-;5;5;5;5;5
"Ladi";5;5;5;5;5;5
"Ladica";8;8;8;8;9;9
"Ladislava";274;270;262;258;254;246
"Ladka";8;8;8;8;8;8
"Laila";8;10;9;12;12;12
"Lajla";-;-;-;5;6;6
"Lalita";6;6;6;6;5;5
"Lamia";-;-;-;-;-;5
"Lamija";-;10;11;17;21;26
"Lana";1795;2132;2435;2729;2945;3157
"Lane";5;5;5;5;5;5
"Lani";-;5;5;6;6;7
"Lanna";5;-;5;5;7;8
"Lara";3166;3434;3643;3907;4142;4425
"Lara Ana";7;7;7;7;8;9
"Larina";-;-;-;-;-;6
"Larisa";1000;1077;1143;1198;1262;1308
"Larisa Lara";8;8;8;8;8;9
"Larissa";45;48;54;54;56;59
"Larysa";11;12;13;15;15;15
"Latife";6;6;6;6;6;7
"Latinka";10;10;10;10;9;10
"Laura";2120;2195;2254;2316;2378;2437
"Laureta";10;11;10;11;10;12
"Lavdije";-;6;7;7;8;8
"Lavoslava";6;6;6;6;6;6
"Lavra";273;274;274;274;278;280
"Lavrencija";9;9;10;10;10;10
"Lazarka";7;7;7;7;6;-
"Layla";-;6;8;10;9;10
"Lea";3124;3205;3274;3348;3401;3462
"Leana";-;-;-;-;-;6
"Leandra";14;14;15;15;15;17
"Leda";25;25;25;25;25;25
"Leia";-;-;-;5;5;5
"Leila";93;100;116;122;130;142
"Leilani";-;-;-;5;5;-
"Leja";485;511;534;566;592;619
"Lejla";425;463;508;556;590;625
"Lejna";6;6;6;6;6;6
"Lela";52;52;52;50;50;50
"Lelija";5;5;5;5;-;-
"Lena";190;204;214;237;254;274
"Lenche";-;-;-;6;7;10
"Lenèa";20;20;21;21;21;23
"Lenèe";18;18;18;17;16;16
"Lenèka";25;25;25;25;24;24
"Lendita";14;13;15;17;18;24
"Leni";12;18;24;37;53;68
"Lenja";5;6;8;11;12;12
"Lenka";180;182;188;185;189;188
"Leona";34;38;42;47;52;58
"Leonarda";47;47;49;49;49;49
"Leonela";12;13;13;13;13;12
"Leoni";-;6;10;10;13;13
"Leonida";539;533;534;535;534;530
"Leonie";-;5;5;8;10;12
"Leonita";11;12;14;17;19;24
"Leonora";74;74;79;82;84;87
"Leontina";21;22;23;25;23;25
"Leopolda";162;157;149;142;134;125
"Leopoldina";593;578;565;546;517;507
"Lepa";17;18;19;19;20;20
"Leposava";42;41;42;42;42;41
"Lerka";8;8;7;7;7;7
"Leticia";5;5;6;6;6;7
"Leticija";20;20;20;21;21;21
"Leunora";-;-;5;5;5;5
"Leyla";15;18;18;20;18;20
"Lia";163;202;248;289;336;372
"Liana";34;39;45;54;59;60
"Libade";5;5;5;5;6;5
"Libera";17;16;16;16;17;17
"Libuša";9;9;9;9;8;8
"Licia";6;6;6;5;5;5
"Lièa";8;8;8;8;8;8
"Lida";13;14;14;13;13;13
"Lidia";45;45;44;44;45;41
"Lidija";5626;5607;5575;5557;5525;5493
"Lidija Marija";20;20;20;20;20;19
"Lidja";11;11;11;11;11;11
"Lidvina";10;10;9;9;9;9
"Lien";10;10;11;13;16;17
"Lija";54;66;83;101;116;127
"Lijana";116;116;116;116;116;115
"Lila";13;13;16;19;22;28
"Lili";167;188;224;260;301;351
"Lilia";6;7;7;8;9;10
"Lilian";5;5;5;-;-;-
"Liliana";31;29;30;30;29;29
"Lilija";17;18;19;20;22;23
"Lilijana";1241;1239;1234;1229;1225;1221
"Liliya";7;-;7;7;8;9
"Liljana";972;971;970;966;966;958
"Lilu";-;-;-;6;9;9
"Lily";-;6;6;8;8;12
"Lin";19;22;23;24;27;32
"Lina";565;631;695;822;930;1026
"Linda";134;137;144;141;149;150
"Lindita";20;19;22;23;24;31
"Liona";-;-;-;5;7;7
"Lira";-;5;5;8;8;9
"Liridona";29;30;30;31;33;39
"Liridone";-;-;-;5;7;8
"Lirije";10;13;18;19;19;22
"Lisa";21;24;28;28;34;40
"Liu";-;-;-;6;7;7
"Liubov";-;-;7;8;9;8
"Liudmila";18;19;24;23;23;25
"Liudmyla";-;-;8;7;10;12
"Livia";27;25;28;31;33;36
"Liviana";6;5;5;5;5;5
"Livija";93;95;93;93;95;96
"Livijana";6;7;7;7;7;7
"Liza";291;305;320;336;361;383
"Lizabeta";-;-;5;5;-;-
"Lizika";30;30;30;30;30;29
"Liya";-;-;-;-;-;6
"Ljepojka";6;6;6;6;7;7
"Ljeposava";43;43;44;43;42;41
"Ljerka";109;107;106;105;103;102
"Ljilja";52;55;56;54;57;60
"Ljiljana";814;815;827;827;825;823
"Ljiljanka";8;8;8;8;8;8
"Ljirije";6;5;-;-;-;-
"Ljuba";484;482;480;474;470;471
"Ljubica";1869;1849;1837;1819;1802;1782
"Ljubinica";10;10;10;10;10;10
"Ljubinka";163;166;168;165;166;164
"Ljubislava";41;41;41;40;40;39
"Ljubka";12;12;11;11;12;12
"Ljubomira";116;115;112;111;110;110
"Ljubomirka";5;5;5;5;5;5
"Ljuboslava";30;29;29;29;29;29
"Ljudmila";5926;5782;5626;5483;5309;5098
"Ljudmila Alojzija";6;6;5;5;5;5
"Ljudmila Ana";9;9;9;9;8;8
"Ljudmila Franèiška";7;7;7;6;6;6
"Ljudmila Ivana";6;6;6;6;6;6
"Ljudmila Marija";34;33;31;30;30;29
"Ljuljjeta";-;-;5;5;-;-
"Ljumnije";6;6;5;5;5;-
"Ljupka";10;9;11;11;12;13
"Lojzika";5;5;5;5;5;5
"Lojzka";74;74;73;72;72;72
"Lola";16;19;20;22;25;28
"Lolita";23;25;25;26;26;25
"Lona";6;6;6;8;10;11
"Lonja";6;6;6;6;6;6
"Lora";71;75;79;83;96;102
"Lore";-;-;-;-;-;5
"Loredana";169;168;167;168;168;168
"Lorela";5;5;5;6;6;7
"Lorelai";-;5;5;5;5;5
"Lorella";17;17;17;17;17;16
"Loren";-;-;-;-;6;6
"Lorena";178;196;208;224;235;248
"Loreta";24;24;24;23;22;22
"Lori";40;45;52;60;64;68
"Lorijana";7;8;8;8;8;8
"Lorina";9;12;11;16;16;17
"Loris";7;7;8;8;8;8
"Lorna";19;20;19;20;20;21
"Lota";9;9;9;9;9;10
"Lote";-;-;5;5;5;-
"Loti";124;141;157;169;190;207
"Lotka";12;12;12;12;12;12
"Lotti";14;14;14;15;15;17
"Lovrenca";6;6;6;6;6;6
"Lovrencija";12;12;12;12;12;12
"Lozanka";5;-;-;5;5;5
"Lu";-;-;-;5;6;8
"Luana";33;35;38;40;40;43
"Luba";6;6;6;6;6;5
"Lubica";5;6;7;7;7;5
"Luca";121;121;122;121;122;120
"Luce";6;6;7;7;7;8
"Lucia";50;51;49;56;58;58
"Luciana";26;27;27;29;29;28
"Lucie";5;6;7;8;7;7
"Lucija";3165;3264;3324;3383;3455;3512
"Lucija Ana";10;10;11;11;11;11
"Lucija Luèka";10;7;8;8;8;8
"Lucija Marija";11;12;12;12;14;14
"Lucijana";50;50;51;51;50;50
"Lucjana";9;9;9;9;9;9
"Luèana";31;31;30;30;30;29
"Luèka";411;429;445;457;470;481
"Ludmila";120;109;105;102;98;89
"Ludovika";40;39;39;39;35;35
"Ludvika";59;59;57;57;57;55
"Luigia";5;5;5;6;-;5
"Luisa";12;12;12;13;12;13
"Luiza";7;7;7;9;10;11
"Lujza";6;6;5;6;6;6
"Lukrecija";9;9;9;9;9;9
"Luljeta";13;15;15;17;20;22
"Luljete";9;10;12;14;16;18
"Lumnije";15;16;19;19;21;21
"Lumturije";12;17;20;23;24;25
"Luna";95;120;158;185;214;228
"Luša";5;7;8;8;8;10
"Lutfija";5;5;5;5;5;6
"Lydia";12;11;10;12;11;11
"Lynn";-;-;-;5;6;5
"Lyubov";6;6;5;6;5;-
"Lyudmyla";26;28;29;29;23;23
"Maca";11;11;10;11;11;10
"Mafalda";25;24;24;24;24;24
"Magbule";7;8;7;6;6;6
"Magda";955;946;945;941;934;929
"Magdalena";2067;2037;2019;1993;1975;1961
"Magdalena Majda";13;13;13;13;13;13
"Magdalena Marija";29;29;28;28;28;27
"Magdica";5;6;6;6;6;6
"Magdolna";14;14;14;14;13;13
"Mahija";12;12;12;12;12;12
"Mahije";-;-;-;5;5;6
"Maia";-;-;-;-;-;6
"Maida";68;72;78;78;84;85
"Maja";12644;12786;12923;13095;13232;13328
"Maja Ana";-;-;-;-;5;5
"Maja Barbara";5;6;6;6;6;6
"Maja Marija";18;19;20;19;19;20
"Majda";7904;7872;7827;7790;7746;7695
"Majda Ana";8;8;8;8;8;8
"Majda Jožica";6;5;5;5;5;5
"Majda Magdalena";10;10;10;10;10;10
"Majda Marija";59;58;57;56;56;54
"Majdi";5;5;5;-;-;-
"Majdica";38;38;38;38;38;37
"Majdka";10;10;10;10;10;10
"Majida";5;6;6;6;-;5
"Majlinda";9;9;11;11;13;13
"Majna";6;6;6;7;7;6
"Makedonka";9;10;11;11;11;13
"Makfire";-;-;5;5;5;9
"Makfirete";5;-;6;6;5;-
"Maksa";18;19;19;20;20;20
"Maksi";5;5;5;5;6;7
"Maksida";-;-;-;-;5;-
"Maksim";6;6;6;7;7;7
"Maksima";19;19;19;19;19;20
"Maksimilijana";15;16;15;15;15;14
"Maksimiljana";123;121;122;120;120;116
"Mala";-;-;5;5;6;6
"Malèi";49;49;48;48;48;48
"Malina";16;16;16;16;16;15
"Malka";20;20;20;20;20;20
"Malsore";-;-;-;-;5;5
"Malu";-;-;-;-;-;5
"Malvina";26;26;27;27;27;26
"Mana";14;14;15;15;15;16
"Manca";2046;2194;2314;2444;2577;2663
"Manda";159;160;157;157;155;154
"Mande";7;7;6;6;7;6
"Mandica";6;7;7;7;7;6
"Mandy";-;-;-;-;-;5
"Manica";328;331;332;334;334;333
"Manja";836;852;867;884;899;910
"Manja Marija";8;8;7;7;7;8
"Manuela";655;655;657;656;661;660
"Manuella";7;7;7;7;7;7
"Manujela";6;6;6;6;6;6
"Mara";806;807;802;800;802;785
"Marcela";100;101;99;99;98;98
"Marcelija";7;7;7;7;7;7
"Marcella";-;5;5;5;5;-
"Marèela";70;69;69;67;66;64
"Mare";22;21;20;19;20;20
"Marenka";6;6;6;6;6;5
"Margaret";7;7;7;7;7;7
"Margareta";795;786;774;759;747;726
"Margareta Marija";10;10;10;10;10;10
"Margarete";-;-;5;5;6;5
"Margarita";37;37;36;36;37;35
"Margerita";54;54;52;51;51;51
"Margherita";5;5;-;-;-;5
"Margit";108;104;100;99;95;90
"Margita";86;84;85;86;87;85
"Margot";8;6;7;8;9;8
"Marharyta";5;-;-;-;-;-
"Mari";21;22;22;23;25;26
"Maria";249;201;200;210;204;212
"Maria Magdalena";-;-;6;7;7;6
"Maria Rosa";-;-;-;5;5;5
"Mariam";-;-;-;-;-;5
"Mariana";29;34;39;35;35;35
"Marianna";11;10;10;10;10;11
"Marianne";9;10;10;9;10;10
"Marica";1758;1736;1732;1719;1707;1687
"Marièka";12;12;11;11;11;11
"Maridi";5;-;-;-;-;-
"Marie";13;13;14;15;14;16
"Mariela";5;6;7;6;6;6
"Mariella";13;13;13;13;13;13
"Marieta";6;7;7;7;7;7
"Marigona";8;10;11;11;13;13
"Mariia";-;-;5;6;6;7
"Marija";72859;71093;69314;67609;65881;64086
"Marija Adela";6;6;6;6;6;5
"Marija Albina";10;11;10;11;11;11
"Marija Alenka";9;9;9;9;9;9
"Marija Alojzija";31;30;30;30;30;29
"Marija Amalija";13;12;11;11;12;11
"Marija Ana";480;474;461;454;447;431
"Marija Andreja";7;7;6;6;6;6
"Marija Angela";27;26;26;26;25;24
"Marija Anica";5;-;-;-;-;-
"Marija Antonija";49;48;43;42;39;36
"Marija Barbara";8;8;8;8;8;8
"Marija Bernarda";13;12;12;12;11;11
"Marija Bernardka";5;5;5;5;5;5
"Marija Berta";8;8;8;8;6;6
"Marija Božena";8;8;8;8;8;8
"Marija Branka";-;-;-;-;-;5
"Marija Breda";22;22;22;23;23;22
"Marija Brigita";6;6;6;6;5;5
"Marija Cecilija";7;7;7;7;7;7
"Marija Cvetka";21;21;19;18;17;17
"Marija Danica";21;19;17;16;16;16
"Marija Danijela";11;11;11;9;9;8
"Marija Darinka";32;32;31;31;31;28
"Marija Darja";8;8;8;8;8;8
"Marija Dolores";5;5;5;5;5;5
"Marija Doroteja";6;6;6;6;6;6
"Marija Draga";12;12;11;9;9;9
"Marija Dragica";12;12;12;11;11;9
"Marija Elizabeta";36;34;33;32;32;29
"Marija Ema";8;8;7;7;6;6
"Marija Emilija";13;13;13;12;11;11
"Marija Erika";7;7;7;7;7;7
"Marija Franèiška";45;43;42;41;40;38
"Marija Gabriela";5;5;5;5;5;5
"Marija Gabrijela";27;26;26;26;25;24
"Marija Helena";41;40;38;37;37;37
"Marija Ida";8;6;-;-;-;-
"Marija Irena";18;16;16;16;16;16
"Marija Irma";11;11;11;11;10;8
"Marija Ivana";50;49;49;47;45;43
"Marija Ivanka";6;6;6;5;5;5
"Marija Jana";8;8;8;8;8;8
"Marija Jožefa";85;83;81;79;78;75
"Marija Jožica";11;11;10;10;9;9
"Marija Julijana";13;11;10;9;9;9
"Marija Justina";8;8;8;7;6;6
"Marija Karmela";7;7;7;7;7;7
"Marija Karmen";8;8;8;8;8;8
"Marija Karolina";11;11;11;11;11;10
"Marija Katarina";17;17;17;16;16;14
"Marija Klara";-;-;-;-;5;6
"Marija Kristina";17;17;17;16;15;15
"Marija Leopoldina";6;6;6;6;6;5
"Marija Lidija";-;-;-;-;-;5
"Marija Ljuba";7;7;7;7;7;7
"Marija Ljudmila";34;29;28;27;27;26
"Marija Lucija";17;17;16;16;16;17
"Marija Magda";13;13;12;12;12;11
"Marija Magdalena";484;475;467;456;444;437
"Marija Maja";32;31;31;31;32;30
"Marija Majda";79;78;77;76;76;76
"Marija Margareta";5;5;5;5;5;5
"Marija Marinka";15;15;15;15;15;15
"Marija Marjana";13;13;13;12;12;12
"Marija Marjanca";5;5;5;5;5;5
"Marija Marjeta";30;28;28;28;28;28
"Marija Marta";36;35;35;35;33;33
"Marija Martina";12;12;11;11;11;10
"Marija Maruša";11;11;11;11;11;11
"Marija Matilda";12;12;11;11;11;10
"Marija Melita";5;5;5;5;5;5
"Marija Metka";10;10;10;10;10;10
"Marija Mihaela";11;10;10;10;10;10
"Marija Mija";6;6;6;6;6;6
"Marija Milena";43;42;41;41;39;40
"Marija Minka";8;8;8;8;8;7
"Marija Mira";30;28;25;24;24;23
"Marija Miroslava";7;7;8;8;8;8
"Marija Mojca";56;56;56;54;54;54
"Marija Nada";28;28;26;26;27;26
"Marija Natalija";5;5;5;5;-;-
"Marija Nevenka";7;7;7;8;8;8
"Marija Neža";5;6;6;6;5;5
"Marija Olga";19;19;19;17;17;16
"Marija Pavla";19;18;18;18;17;16
"Marija Pija";6;6;6;-;-;-
"Marija Renata";7;7;7;7;6;6
"Marija Roza";14;12;12;11;11;11
"Marija Rozalija";20;19;19;19;18;18
"Marija Silva";12;12;12;11;12;10
"Marija Silvestra";11;10;10;10;10;10
"Marija Slava";7;6;7;7;6;6
"Marija Slavica";7;7;7;7;6;6
"Marija Snežna";12;11;11;11;11;11
"Marija Sonja";18;17;17;17;17;17
"Marija Stanislava";27;25;24;24;23;20
"Marija Štefanija";16;16;16;14;14;14
"Marija Tatjana";18;18;18;18;17;17
"Marija Terezija";104;101;99;93;92;88
"Marija Uršula";5;5;5;-;-;-
"Marija Valentina";5;5;5;5;5;5
"Marija Valerija";15;15;15;15;15;14
"Marija Vanda";6;6;6;6;5;5
"Marija Vera";36;35;34;33;33;33
"Marija Veronika";14;15;15;15;15;14
"Marija Vida";26;26;24;24;24;22
"Marija Viktorija";15;15;14;14;13;13
"Marija Vilma";5;5;5;-;-;-
"Marija Zdenka";15;15;15;15;15;14
"Marija Zlata";8;8;8;8;8;8
"Marija Zofija";15;15;13;14;14;14
"Marija Zora";11;11;10;9;7;6
"Marijana";1436;1418;1412;1405;1391;1387
"Marijanca";90;88;88;88;88;87
"Marijanka";13;13;13;13;12;13
"Marijela";7;7;7;8;9;9
"Marijeta";31;31;30;30;30;30
"Marijetka";5;5;5;5;5;5
"Marijica";9;9;9;9;9;9
"Marika";49;50;54;51;50;54
"Marina";1716;1740;1766;1774;1788;1808
"Marinela";63;63;66;65;66;67
"Marinella";11;12;11;12;12;13
"Marinka";1730;1731;1724;1725;1729;1728
"Marinka Marija";6;6;6;7;7;7
"Marion";6;6;7;6;7;8
"Marisa";85;94;95;99;107;118
"Mariša";31;32;32;33;34;34
"Marita";6;6;6;6;6;6
"Mariza";82;82;82;82;82;80
"Marizela";11;11;11;10;11;13
"Mariya";13;14;12;16;17;19
"Marja";180;182;182;181;182;186
"Marjana";3441;3436;3428;3416;3412;3393
"Marjanca";1254;1251;1249;1241;1240;1235
"Marjanica";5;5;5;5;5;5
