"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Ana Roza";8;8;8;8;7;7
"Ana Stanislava";5;5;5;5;5;5
"Ana Štefanija";9;9;9;7;6;6
"Ana Terezija";16;16;15;15;15;15
"Ana Tia";-;-;-;-;5;5
"Ana Vera";5;5;5;5;5;-
"Ana Veronika";7;7;7;7;7;7
"Ana Vida";7;7;6;6;6;6
"Ana Vita";7;8;10;10;12;13
"Ana Zala";-;-;-;-;5;5
"Ana Zofija";5;-;-;-;-;-
"Anabel";8;10;16;17;19;25
"Anabela";19;21;23;29;39;43
"Anabella";5;7;8;13;15;22
"Anais";6;9;13;14;15;16
"Anaja";16;21;28;35;44;51
"Analina";7;7;8;9;9;11
"Ana-Marija";-;18;21;21;-;21
"Anamari";98;102;106;108;110;114
"Anamaria";28;29;31;31;33;34
"Anamarie";18;19;20;20;21;22
"Anamarija";851;872;886;911;925;932
"Ana-marija";-;-;-;-;21;-
"Anastasia";48;54;65;68;79;91
"Anastasiia";5;-;-;-;-;5
"Anastasija";69;81;98;116;135;154
"Anastasiya";8;11;13;15;17;16
"Anastazia";6;7;8;9;10;11
"Anastazija";273;275;277;280;282;289
"Anaya";-;-;-;-;7;7
"Anèa";5;5;5;5;5;6
"Anèka";55;55;54;53;53;52
"Anda";23;23;23;23;23;24
"Andja";122;120;117;114;114;114
"Andjela";30;30;31;29;32;32
"Andjelija";18;18;18;18;17;17
"Andjelka";43;43;42;40;40;40
"Andra";30;30;30;30;30;30
"Andrea";196;205;206;217;222;225
"Andreina";13;13;12;12;12;12
"Andreja";9576;9573;9569;9570;9556;9531
"Andreja Marija";9;9;9;9;9;9
"Andrejana";22;21;20;20;18;17
"Andrejina";31;31;31;33;32;31
"Andrejka";1288;1282;1277;1271;1266;1258
"Andriana";7;7;9;9;9;7
"Andrijana";76;76;75;76;79;83
"Andrina";6;6;6;6;7;7
"Anduena";-;-;-;-;-;6
"Ane";19;20;18;18;17;17
"Ane Mari";12;11;11;11;11;10
"Ane Marie";7;6;6;5;7;6
"Anea";18;22;24;27;29;30
"Aneja";266;293;324;357;383;404
"Anela";153;164;169;173;179;192
"Aneli";-;-;5;5;5;6
"Anemari";87;89;89;91;93;93
"Anemarie";18;18;18;18;18;19
"Anemarija";21;21;21;21;22;21
"Anesa";46;55;60;65;70;78
"Anet";19;19;21;23;23;24
"Aneta";54;54;60;63;66;68
"Anette";9;9;7;7;7;7
"Angela";7389;7147;6894;6652;6403;6175
"Angela Ana";8;8;8;8;8;8
"Angela Marija";26;24;24;23;21;20
"Angelca";250;249;249;247;243;243
"Angelica";8;8;9;8;8;8
"Angelika";72;76;78;81;86;94
"Angelina";103;109;116;117;120;131
"Angie";6;6;6;6;6;6
"Angjela";12;12;11;11;11;8
"Angjelka";5;5;5;5;5;5
"Ani";56;58;60;58;58;59
"Anica";6952;6891;6832;6763;6699;6634
"Anica Marija";9;8;9;9;9;9
"Anida";12;13;16;15;18;20
"Anifa";6;6;5;6;5;5
"Anife";8;9;10;10;9;9
"Anija";5;5;6;6;8;9
"Anika";174;199;224;248;269;299
"Anila";8;9;9;9;12;15
"Anina";39;40;42;45;48;46
"Anisa";50;54;62;62;64;70
"Anissa";-;-;-;5;5;5
"Anita";4108;4106;4107;4112;4121;4136
"Anja";8074;8198;8305;8401;8464;8523
"Anja Marija";5;6;6;6;6;6
"Anjuška";6;6;6;6;6;6
"Anka";985;971;964;959;953;946
"Ankica";322;316;319;319;320;318
"Anna";187;185;197;204;213;222
"Anna Maria";29;27;29;29;30;30
"Anna Marie";11;12;12;13;12;11
"Anna Marija";-;-;-;-;-;5
"Annamaria";12;12;11;11;11;11
"Anne Marie";15;15;15;16;14;13
"Annemarie";21;21;22;21;21;20
"Anouk";-;-;-;5;6;5
"Antea";9;8;9;9;11;12
"Anteja";27;28;28;27;27;27
"Anthea";8;8;8;8;8;9
"Antica";17;15;14;14;14;13
"Antigona";12;13;14;17;19;21
"Antonela";30;29;30;31;30;30
"Antonella";8;9;10;10;10;10
"Antoneta";15;15;16;16;16;16
"Antonia";32;34;35;35;36;37
"Antonija";7182;6965;6736;6547;6354;6140
"Antonija Alojzija";5;-;-;-;-;-
"Antonija Ana";7;6;6;6;6;6
"Antonija Marija";41;41;39;38;37;34
"Antonija Zvonka";17;18;18;18;18;18
"Antonina";15;16;17;19;18;18
"Anuša";90;91;93;93;95;95
"Anuška";136;141;141;141;144;145
"Anzhela";5;7;7;7;9;10
"Anželika";6;6;6;6;6;6
"Anða";113;114;115;114;116;114
"Anya";-;-;-;-;5;-
"Anðela";119;120;121;131;136;132
"Anðelija";10;10;10;10;11;10
"Anðelina";20;21;21;23;27;31
"Anðelka";82;82;82;85;87;84
"Apolonija";405;400;389;384;376;372
"Arabela";10;12;12;12;12;14
"Aranka";52;53;49;47;47;45
"Arbenita";6;9;9;10;11;12
"Arbnora";-;-;-;-;5;6
"Arbnore";9;8;8;8;8;9
"Ardiana";11;11;12;13;13;16
"Ardijana";9;10;10;10;10;10
"Ardita";14;16;20;25;25;26
"Aria";-;-;5;8;12;13
