"Moška imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Avdullah";15;19;19;20;19;16
"Avdyl";25;26;31;31;31;28
"Avgust";1120;1084;1055;1027;1002;968
"Avgustin";28;29;28;28;28;25
"Avguštin";713;694;679;654;633;614
"Avmed";-;-;-;-;6;5
"Avni";76;76;97;92;85;86
"Avnija";8;7;5;-;-;-
"Avrelij";15;14;13;12;13;14
"Azem";76;74;81;78;78;78
"Azer";-;-;-;-;-;5
"Azim";18;17;17;15;15;13
"Azis";5;-;-;-;-;-
"Aziz";100;97;109;110;109;105
"Azmir";13;14;16;14;14;14
"Azrudin";7;7;6;7;6;5
"Azur";-;-;-;-;5;9
"Ažbe";168;207;252;293;322;345
"Aydin";-;5;6;6;6;6
"Aðul";-;-;-;5;-;5
"Bafti";13;12;16;15;14;14
"Bahri";12;11;9;11;9;8
"Bahrija";28;28;29;28;28;29
"Bahrudin";24;27;27;27;26;29
"Bahtir";-;-;5;-;-;-
"Bajram";150;157;156;151;151;152
"Bajro";125;119;133;126;126;124
"Bajrush";7;8;7;7;7;7
"Baki";16;20;22;19;18;20
"Bakir";9;9;10;11;12;12
"Balazs";6;-;-;-;-;-
"Baldomir";8;8;6;5;5;5
"Bali";-;-;5;-;-;-
"Baltazar";16;16;15;15;15;14
"Bal?Zs";6;5;5;5;-;-
"Balázs";-;5;5;5;5;5
"Bane";6;5;6;6;6;7
"Bardhyl";-;-;5;-;-;-
"Bare";13;13;13;13;13;13
"Bart";5;6;8;10;10;10
"Bartol";5;5;6;6;6;6
"Bartolomej";-;-;-;5;-;-
"Bashkim";47;55;73;64;65;64
"Basri";12;10;15;15;13;12
"Bastian";20;25;29;33;35;38
"Bastjan";-;-;-;-;5;-
"Baškim";22;20;18;17;14;14
"Bazilij";10;10;9;7;6;-
"Beat";5;-;-;-;-;-
"Bedri";43;47;51;45;41;39
"Bedžet";5;5;-;-;-;-
"Began";13;12;12;11;11;10
"Bego";52;51;53;54;52;51
"Behadin";-;-;5;5;5;5
"Behar";21;22;32;26;29;30
"Behram";-;-;5;-;-;-
"Behxhet";5;-;8;7;8;7
"Bejadin";6;6;6;6;5;5
"Bejtula";6;7;7;8;7;6
"Bekim";117;126;146;141;141;142
"Bekir";25;31;36;32;27;27
"Bekri";5;6;-;5;-;-
"Bela";140;135;131;128;122;117
"Belmin";37;45;50;54;59;63
"Ben";23;25;29;34;38;42
"Benedikt";84;83;82;82;80;79
"Benet";-;-;-;-;-;5
"Beni";10;11;8;8;9;10
"Benito";10;9;10;10;10;10
"Benjamin";2095;2156;2210;2274;2315;2357
"Beno";444;449;452;456;453;452
"Berat";23;32;31;32;30;33
"Berin";8;8;9;9;9;9
"Berislav";28;26;27;27;26;28
"Beriz";6;6;7;6;6;6
"Bernad";6;6;6;6;6;6
"Bernard";823;815;808;794;788;779
"Bernardo";18;18;18;18;19;19
"Bernd";5;5;5;5;5;5
"Bernhard";5;6;5;-;-;5
"Bert";22;24;26;27;28;31
"Berti";9;9;9;9;9;9
"Berto";31;31;31;31;31;30
"Bertold";5;5;5;5;5;5
"Berzat";-;-;-;5;-;-
"Besar";9;11;11;10;10;10
"Besart";15;18;24;20;18;19
"Besim";193;195;227;211;212;213
"Besir";11;12;12;13;12;13
"Besjan";-;-;-;-;-;5
"Besmir";18;20;21;20;22;25
"Besnik";63;79;82;80;75;79
"Bešir";18;21;22;20;20;18
"Betim";10;14;13;13;13;13
"Bexhet";8;7;10;7;7;8
"Beæir";65;64;68;61;57;57
"Beqir";17;21;21;24;24;25
"Beæo";11;14;15;14;15;15
"Bian";11;11;12;12;12;12
"Bilal";18;19;23;29;30;31
"Binak";8;10;10;11;10;9
"Bine";223;242;263;297;322;354
"Bislim";9;14;15;12;13;14
"Bjan";-;-;-;-;-;5
"Bjorn";-;-;-;-;-;5
"Blago";7;7;7;7;7;7
"Blagoj";37;36;39;37;37;39
"Blagoja";37;37;37;38;39;34
"Blagojche";-;-;-;-;-;5
"Blagojcho";-;-;5;6;7;8
"Blagojèe";8;-;-;-;-;-
"Blagojèo";14;14;12;9;9;8
"Blagoje";77;74;70;68;67;68
"Blagomir";5;5;5;5;5;5
"Blagoy";5;-;-;-;-;5
"Blaško";12;11;12;12;12;12
"Blazhe";-;-;7;7;12;12
"Blazho";-;-;-;-;8;14
"Blaž";6417;6506;6604;6674;6759;6833
"Blažan";5;5;5;-;-;-
"Blaže";24;22;20;20;17;17
"Blaženko";11;11;11;11;11;11
"Blažo";30;25;28;26;23;20
"Bleard";-;-;-;-;5;6
"Bleart";-;-;-;-;5;5
"Bledar";8;8;11;9;10;10
"Blend";-;-;-;-;5;7
"Blendi";6;6;8;7;9;10
"Blerim";62;72;88;83;82;77
"Bleron";-;5;8;11;10;12
"Blerton";6;6;8;6;10;8
"Bljerim";-;6;6;-;-;-
"Boban";109;110;112;119;127;131
"Bobi";5;6;6;7;6;8
"Bogdan";2418;2394;2379;2365;2335;2320
"Bogo";43;43;42;42;42;41
"Bogoja";5;-;-;-;-;-
"Bogoljub";98;96;96;98;92;90
"Bogomil";204;200;196;188;179;175
"Bogomir";1343;1315;1291;1256;1224;1199
"Bogomir Mirko";5;5;5;5;5;5
"Bogosav";8;8;8;8;8;8
"Bogoslav";37;36;36;35;34;32
"Bogumil";7;6;5;5;5;5
"Bojan";10625;10576;10585;10544;10519;10461
"Bojan Anton";5;5;-;5;5;-
"Bojan Franc";6;6;5;5;5;5
"Bojan Janez";5;-;-;-;-;-
"Bojko";7;7;7;7;6;6
"Boleslav";20;20;20;20;20;20
"Bolfenk";7;7;6;6;6;5
"Boltežar";12;12;11;10;9;9
"Bono";13;13;14;14;15;16
"Bor";542;604;685;753;820;886
"Bora";15;15;14;14;14;14
"Boran";7;6;5;5;5;5
"Borche";5;-;14;20;20;25
"Borcho";-;-;-;-;-;5
"Borèe";25;26;23;18;17;16
"Borèo";8;9;8;8;7;7
"Bore";32;32;34;38;36;37
"Boris";8577;8506;8485;8408;8374;8309
"Boris Andrej";6;6;6;6;5;5
"Boris Franc";5;5;5;5;5;5
"Boris Ivan";5;5;5;5;5;5
"Boris Janez";7;7;7;6;6;6
"Boris Jožef";11;10;9;9;9;9
"Borisav";13;13;13;13;12;11
"Borislav";391;391;397;395;391;380
"Boriša";5;6;7;6;6;6
"Borivoj";61;60;60;57;55;56
"Borivoje";43;42;45;43;42;41
"Borja";9;9;12;14;15;15
"Borjan";6;6;7;8;8;8
"Borko";66;66;68;66;67;69
"Borna";13;15;16;17;20;22
"Boro";243;243;251;249;246;243
"Borut";4395;4397;4392;4386;4376;4359
"Bosiljko";6;6;6;7;6;6
"Boško";270;274;278;275;267;267
"Boštijan";8;9;9;9;9;9
"Boštjan";10047;10027;10014;10006;10002;9977
"Božidar";1830;1809;1784;1758;1722;1690
"Božidar Andrej";5;-;-;-;-;-
"Božidar Darko";6;6;6;7;6;5
"Božidar Jožef";5;5;5;5;5;5
"Božin";5;-;-;-;-;-
"Božislav";6;6;6;5;5;5
"Božo";722;715;712;706;702;697
"Braco";35;35;36;37;35;35
"Brahim";30;26;30;30;29;27
"Braim";7;6;6;6;7;7
"Brajan";-;5;5;5;5;5
"Brane";181;181;184;187;186;183
"Branimir";531;527;524;516;514;504
"Branislav";650;659;666;654;643;643
"Branivoj";16;16;15;15;15;15
"Branivoje";5;5;5;5;5;5
"Branko";11392;11309;11240;11144;11034;10936
"Branko Franc";31;31;29;29;30;30
"Branko Franèišek";9;9;10;9;9;9
"Branko Jožef";5;-;-;-;-;-
"Brano";10;13;16;16;15;16
"Bratislav";44;38;46;48;46;48
"Bratko";6;6;6;5;5;5
"Brendon";9;9;9;10;10;10
"Brian";10;10;9;10;9;8
"Brin";93;119;140;167;196;229
"Bronislav";18;17;17;17;17;17
"Bruno";878;869;864;850;840;836
"Budimir";52;53;52;51;52;48
"Bujamin";8;7;9;7;8;8
"Bujar";50;59;72;64;63;62
"Burhan";7;6;7;8;8;8
"Burim";65;68;96;87;83;79
"Cane";11;11;11;10;10;10
"Carlo";12;12;16;16;16;18
"Carlos";-;5;5;6;6;5
"Celestin";24;22;22;22;21;20
"Cene";64;68;71;75;77;82
"Chris";25;27;29;31;31;34
"Christian";135;131;132;125;125;129
"Christoph";-;-;5;-;-;-
"Christopher";12;14;13;13;12;12
"Ciril";2255;2217;2156;2101;2057;1988
"Ciril Janez";5;-;-;-;-;-
"Ciril Metod";28;25;24;24;22;22
"Claudio";45;46;49;50;51;54
"Clirim";-;5;5;8;7;9
"Colin";-;-;-;-;-;5
"Cris";-;-;5;5;6;6
"Cristian";18;19;22;24;25;23
"Csaba";5;6;5;-;-;-
"Cvetan";15;13;13;13;13;13
"Cvetko";775;763;756;747;734;720
"Cveto";123;121;119;116;115;114
"Cvijan";15;15;16;16;16;16
"Cvijetin";55;52;52;49;51;53
"Cvijo";12;9;9;9;9;9
"Cviko";11;11;11;10;10;10
"Cvjetko";33;34;32;34;33;31
"Èaba";7;7;7;5;6;-
"Èamil";6;5;5;5;5;-
"Èaslav";29;22;24;24;26;26
"Èazim";13;14;13;12;11;11
"Èedo";133;136;135;137;133;133
"Èedomil";5;5;5;5;5;5
"Èedomir";124;128;126;125;119;119
"Èrt";290;314;326;335;350;363
"Èrtomir";224;224;223;222;223;224
"Dado";13;13;14;14;15;15
"Dag";6;6;6;6;6;5
"Dagmar";6;6;6;6;6;6
"Dajan";-;7;6;6;6;7
"Dako";14;14;16;13;13;13
"Dali";8;8;8;8;8;8
"Dalibor";646;656;685;676;680;710
"Dalimir";5;5;5;5;5;5
"Dalip";10;11;13;12;12;12
"Dame";-;5;7;5;7;7
"Damian";26;29;29;27;27;27
"Damijan";1825;1817;1806;1802;1797;1798
"Damir";1751;1764;1808;1799;1802;1809
"Damjan";4355;4357;4363;4357;4366;4357
"Dan";98;109;114;124;137;138
"Danaj";-;-;5;5;6;6
"Dane";154;153;159;154;155;158
"Danej";18;18;18;19;19;20
"Dani";152;153;155;157;160;162
"Daniel";1675;1672;1685;1680;1683;1677
"Daniele";17;18;17;16;17;19
"Daniil";-;-;-;5;-;5
"Danijel";3762;3744;3778;3763;3734;3717
"Danilo";2616;2594;2574;2546;2520;2509
"Danimir";18;18;16;16;15;15
"Danis";5;6;7;10;12;13
"Danislav";7;7;7;7;7;7
"Danjel";142;140;137;137;135;132
"Danko";69;68;70;68;64;66
"Dano";5;5;5;5;5;5
"Dante";13;12;12;12;15;15
"Dany";5;5;5;-;-;-
"Dardan";19;21;20;24;22;29
"Dare";22;21;22;22;23;22
"Darian";16;18;19;19;19;20
"Darij";133;133;131;126;126;125
"Darijan";119;120;121;121;123;122
"Darijo";131;130;130;130;127;128
"Darin";18;18;19;18;18;19
"Darinko";43;43;43;43;43;43
"Darino";5;5;5;5;5;5
"Dario";373;373;389;393;404;410
"Daris";14;16;20;29;38;52
"Darjan";387;389;386;386;386;387
"Darjo";252;253;252;251;251;247
"Darko";6241;6218;6245;6213;6189;6164
"Daroslav";8;8;8;8;7;7
"Darvin";8;9;9;9;9;9
"Dashmir";-;-;6;6;6;7
"Dashnor";-;6;5;6;7;6
"Dašmir";7;8;9;8;7;6
"Dašo";6;6;6;7;7;7
"Daut";25;29;32;26;27;27
"David";7170;7314;7477;7638;7815;7988
"David Aleksander";-;-;-;-;-;5
"David John";-;-;-;5;-;-
"David Peter";-;-;-;5;5;5
"Davide";12;14;15;18;22;21
"Davor";1197;1202;1222;1229;1226;1233
"Davorin";1481;1470;1466;1451;1456;1445
"Davorin Martin";5;5;-;5;5;5
"Davud";11;13;14;20;21;28
"Dean";623;623;638;639;638;639
"Dedo";15;17;16;15;14;15
"Deen";5;5;7;8;8;8
"Defrim";5;8;9;10;10;12
"Dejan";7943;7956;8014;8008;8021;8037
"Dejanèo";6;-;-;-;-;-
"Dejvi";10;10;10;10;11;12
"Dejvid";48;51;53;52;52;53
"Dejvis";5;5;5;5;5;5
"Delèo";5;-;-;-;-;-
"Demeter";5;-;-;-;-;-
"Demetrij";19;19;19;19;19;18
"Demian";9;10;10;10;10;11
"Demir";51;60;66;66;68;71
"Demirali";-;5;5;-;-;-
"Demirel";6;7;7;7;7;7
"Demis";9;9;9;9;8;8
"Demiš";5;5;5;5;-;-
"Demitrij";13;13;13;14;13;13
"Demuš";5;5;5;5;6;6
"Den";14;15;16;16;16;16
"Deni";109;110;112;116;119;122
"Denijal";8;8;9;9;9;8
"Denis";4982;5045;5096;5117;5141;5151
"Deniz";7;7;7;7;7;5
"Dennis";33;32;35;36;37;35
"Deny";5;5;6;6;6;6
"Denys";5;6;6;6;7;7
"Derviš";67;70;72;71;69;65
"Dervo";5;5;5;5;5;5
"Desimir";51;51;52;49;48;46
"Destan";8;8;10;9;10;10
"Devid";11;11;11;12;12;12
"Devin";-;-;-;-;5;5
"Devis";10;10;9;9;9;9
"Dezider";43;40;40;39;38;36
"Deziderij";25;25;24;23;23;22
"Deyan";6;7;7;5;5;6
"Deyancho";-;-;-;-;-;5
"Dian";-;-;-;-;5;6
"Diar";-;-;-;5;7;10
"Dibran";7;9;9;9;9;11
"Diego";44;45;47;54;56;54
