"GEO";"BCA";"BCA_NGDPD";"GGR_NGDP";"GGXCNL_NGDP";"GGX_NGDP";"GGXWDG_NGDP";"LP";"NGDPD";"NGDP_D";"NGDPDPC";"NGDP_RPCH";"NGSD_NGDP";"NID_NGDP";"PCPI";"PCPIE";"PCPIEPCH";"PCPIPCH";"PPPEX";"PPPGDP";"PPPPC";"PPPSH";"TMG_RPCH";"TM_RPCH";"TXG_RPCH";"TX_RPCH"
"Comoros";-31;-5684;29166;7018;22148;50326;666;544;152964;817642;2051;9720;15404;150464;154978;6586;3899;253915;795;1193,92;1;-285;2746;-734;8523
"Costa Rica";-1281;-3530;13644;-5472;19116;29142;4562;36298;875880;7956,518;4954;17120;20650;140003;143090;5828;5663;371333;51401;11266,904;68;15815;23447;4975;12194
"Côte d'Ivoire";567;2468;19702;-2301;22002;66433;22026;22964;137262;1042,557;2449;11434;8966;133105;136947;5104;1366;308789;36764;1669,082;49;6416;6416;-11472;-11472
"Croatia";-626;-1063;38205;-5108;43313;42621;4418;58856;118652;13321,892;-2272;20837;21900;99999;100520;1916;1047;4244;76298;17269,882;102;-17109;-2874;8329;5630
"Cyprus";-2270;-9830;40882;-5286;46168;61327;840;23096;115230;27501,529;1309;9968;19798;112034;113120;1947;2564;758;22952;27330,539;31;7092;4793;11160;3812
"Czech Republic";-7602;-3830;39069;-4767;43836;37906;10507;198494;106569;18891,892;2469;20959;24841;114925;115500;2303;1464;13943;271881;25876,65;362;15984;15377;16359;15417
"Democratic Republic of the Congo";-1061;-8082;33012;4931;28081;42598;70458;13124;2477,939;186263;7174;15437;23519;2296,74;1051,92;9838;23464;518211;22969;325992;31;43286;39498;47379;37871
"Denmark";18429;5885;54768;-2692;57459;42747;5535;313139;114136;56576,984;1577;22661;16776;122433;124100;2902;2298;8835;199325;36013,52;265;-527;-1609;-965;-1852
"Djibouti";-61;-5373;35460;-507;35966;51187;841;1129;203747;1341,877;3487;14466;19839;142691;144918;2798;3954;96830;2071;2462,864;3;-19799;-19799;560;-13494
"Dominica";-81;-17147;37692;-3537;41230;69883;71;475;108675;6708,451;1200;4223;21370;99914;99189;58;2811;1334;961;13579,853;1;-6171;-8923;-12367;8486
"Dominican Republic";-4330;-8380;13629;-2486;16115;29140;9874;51672;515256;5233,143;7751;8110;16474;342678;352010;6238;6330;21925;86745;8785,151;116;13883;14293;20676;11999
"Ecuador";-1608;-2381;34342;-1388;35730;19754;14205;67514;120198;4752,812;2953;25590;27453;127308;128990;3324;3553;531;127106;8948,007;169;19773;16714;3585;2489
"Egypt";-4318;-1976;25142;-8284;33426;73172;78700;218459;210294;2775,848;5147;17525;19501;213558;220011;10704;11700;2438;494906;6288,515;659;-1970;-4911;-10430;-3171
"El Salvador";-569;-2658;17142;-4429;21571;49664;6220;21418;235988;3443,457;1365;10660;13318;101093;102130;2130;1179;502;42640;6855,358;57;6855;7298;14422;13916
"Equatorial Guinea";-2920;-24039;35750;-6082;41832;5987;703;12148;116752;17269,819;-2573;38508;62547;173023;174969;5429;5320;348944;17242;24512,082;23;-24364;-22071;-5069;-5086
"Eritrea";-119;-5622;18580;-16046;34626;143767;5741;2117;438566;368748;2194;3690;9299;523085;500349;14198;12709;9031;3604;627791;5;21083;11854;26100;18085
"Estonia";542;2841;44904;397;44508;6657;1340;19080;128600;14237,81;2565;22584;19743;239197;220673;5416;2894;584;24623;18373,844;33;23729;21091;33600;23719
"Ethiopia";-1193;-4060;17467;-1344;18811;27920;82950;29396;90517;354380;10567;20676;23569;285459;336794;14564;8134;4366;86861;1047,151;116;-7548;14712;-6411;-6411
"Finland";3549;1497;52984;-2810;55794;48664;5375;237148;113862;44118,256;3363;19944;18447;110488;112070;2769;1686;973;183661;34167,811;245;10263;6820;11055;7923
