"GEO";"BCA";"BCA_NGDPD";"GGR_NGDP";"GGXCNL_NGDP";"GGX_NGDP";"GGXWDG_NGDP";"LP";"NGDPD";"NGDP_D";"NGDPDPC";"NGDP_RPCH";"NGSD_NGDP";"NID_NGDP";"PCPI";"PCPIE";"PCPIEPCH";"PCPIPCH";"PPPEX";"PPPGDP";"PPPPC";"PPPSH";"TMG_RPCH";"TM_RPCH";"TXG_RPCH";"TX_RPCH"
"Turkey";-45447;-6216;33270;-2989;36260;42335;73003;731144;1037,723;10015,265;9157;13308;19523;178400;181850;6401;8566;1142;962016;13177,761;1281;17842;17633;11625;8811
"Uganda";-1902;-11071;15486;-6673;22159;26710;33425;17181;183513;514018;6196;11994;23064;145173;149400;3086;3972;834279;44844;1341,643;60;3453;8621;-9437;-3788
"Ukraine";-3018;-2212;43249;-5755;49004;40505;45783;136417;165707;2979,671;4100;16255;18467;31196376,068;32370946,087;9096;9365;3568;303411;6627,221;404;17417;17417;9293;9293
"United Arab Emirates";7241;2519;29635;4669;24966;22060;8264;287422;111579;34778,053;1671;28543;26024;242894;243956;876;878;4641;227438;27519,993;303;1306;1775;-3116;-2931
"United Kingdom";-61863;-2693;36142;-9966;46108;78468;62262;2296,93;1e+05;36891,374;1660;12323;15016;114500;115900;3390;3339;675;2200,896;35348,96;2931;11114;7868;9649;6673
"United States";-449472;-3005;30266;-10796;41062;95170;309733;14958,3;101211;48294,189;2507;15075;18402;218085;220836;1672;1640;1000;14958,3;48294,189;19920;15163;12758;14321;11477
"Uruguay";-731;-1881;32661;-1486;34147;61612;3357;38846;138463;11573,135;8947;16665;18546;97308;1e+05;6929;6699;16690;46688;13909,5;62;11011;10803;16447;14151
"Uzbekistan";2397;6152;37003;4936;32067;9961;28500;38963;8649,723;1367,125;8500;36819;30667;2094,463;2218,959;12054;9380;723998;85351;2994,769;114;-8177;-7448;-15377;-8503
"Venezuela";8812;2981;21215;-10364;31579;36289;28631;295591;1822,039;10324,06;-1489;24953;21972;189183;208200;27184;28187;2917;348539;12173,363;464;-11799;-2891;-12463;-12877
"Vietnam";-4287;-3800;27168;-2849;30017;51684;86933;112825;1e+05;1297,852;6423;31614;35694;167126;176784;11748;9207;7445,133;289831;3333,975;386;2853;5855;4612;6705
"Yemen";-1154;-3716;26031;-4041;30071;42191;24398;31046;1748,01;1272,489;7702;7925;11641;282212;291722;12486;11175;108467;62846;2575,885;84;-3954;-3916;5698;4506
"Zambia";1144;7068;19569;-3044;22613;25756;13217;16190;444354;1224,952;7620;22574;22567;105956;109580;7900;8500;3897;19929;1507,828;27;31032;31032;19847;19847
