"TIME","GEO","DURATION","UNIT","Value","Flag and Footnotes"
"2011","Bulgaria","Less than 1 year","Number","25",""
"2011","Bulgaria","Less than 5 years","Number","1,583",""
"2011","Bulgaria","10 years","Number","360",""
"2011","Bulgaria","20 years","Number","316",""
"2011","Bulgaria","30 years or over","Number","867",""
"2011","Czech Republic","Less than 1 year","Number","66",""
"2011","Czech Republic","Less than 5 years","Number","4,457",""
"2011","Czech Republic","10 years","Number","1,019",""
"2011","Czech Republic","20 years","Number","854",""
"2011","Czech Republic","30 years or over","Number","2,192",""
"2011","Denmark","Less than 1 year","Number",":",""
"2011","Denmark","Less than 5 years","Number",":",""
"2011","Denmark","10 years","Number",":",""
"2011","Denmark","20 years","Number",":",""
"2011","Denmark","30 years or over","Number",":",""
"2011","Germany (including former GDR)","Less than 1 year","Number","42",""
"2011","Germany (including former GDR)","Less than 5 years","Number","22,681",""
"2011","Germany (including former GDR)","10 years","Number","7,973",""
"2011","Germany (including former GDR)","20 years","Number","5,004",""
"2011","Germany (including former GDR)","30 years or over","Number","13,837",""
"2011","Estonia","Less than 1 year","Number","14",""
"2011","Estonia","Less than 5 years","Number","772",""
"2011","Estonia","10 years","Number","93",""
"2011","Estonia","20 years","Number","84",""
"2011","Estonia","30 years or over","Number","238",""
"2011","Ireland","Less than 1 year","Number",":",""
"2011","Ireland","Less than 5 years","Number",":",""
"2011","Ireland","10 years","Number",":",""
"2011","Ireland","20 years","Number",":",""
"2011","Ireland","30 years or over","Number",":",""
"2011","Greece","Less than 1 year","Number",":",""
"2011","Greece","Less than 5 years","Number",":",""
"2011","Greece","10 years","Number",":",""
"2011","Greece","20 years","Number",":",""
"2011","Greece","30 years or over","Number",":",""
"2011","Spain","Less than 1 year","Number","225",""
"2011","Spain","Less than 5 years","Number","14,548",""
"2011","Spain","10 years","Number","4,135",""
"2011","Spain","20 years","Number","2,735",""
"2011","Spain","30 years or over","Number","12,255",""
"2011","France","Less than 1 year","Number","163",""
"2011","France","Less than 5 years","Number","16,606",""
"2011","France","10 years","Number","5,570",""
"2011","France","20 years","Number","3,408",""
"2011","France","30 years or over","Number","14,772",""
"2011","France (metropolitan)","Less than 1 year","Number","158",""
"2011","France (metropolitan)","Less than 5 years","Number","16,333",""
"2011","France (metropolitan)","10 years","Number","5,415",""
"2011","France (metropolitan)","20 years","Number","3,299",""
"2011","France (metropolitan)","30 years or over","Number","14,434",""
"2011","Croatia","Less than 1 year","Number","32",""
"2011","Croatia","Less than 5 years","Number","1,021",""
"2011","Croatia","10 years","Number","176",""
"2011","Croatia","20 years","Number","112",""
"2011","Croatia","30 years or over","Number","530",""
"2011","Italy","Less than 1 year","Number","0",""
